##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000285415.1	PRJNA224116	SAMEA2272075	CAEE00000000.1	na	394935	394935	Chromobacterium haemolyticum	strain=C-61	na	latest	Scaffold	Major	Full	2011/08/24	ASM28541v1	Chonnam National University	GCA_000285415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/415/GCF_000285415.1_ASM28541v1	na	na	na	haploid	bacteria	5115736	5085592	62.5	0	1118	1118	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	5286	4859	54	22072649
GCF_000292975.1	PRJNA224116	SAMN00829140	ALKK00000000.1	na	1161424	859	Fusobacterium necrophorum subsp. funduliforme Fnf 1007	strain=Fnf 1007	na	latest	Contig	Major	Full	2012/08/27	FnecroFnf1007v1.0	JCVI	GCA_000292975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/292/975/GCF_000292975.1_FnecroFnf1007v1.0	na	na	na	haploid	bacteria	2166823	2166823	35.0	0	87	87	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/28/22	2166	2091	38	na
GCF_000297115.1	PRJNA224116	SAMEA3138419	CAKP00000000.1	representative genome	857293	515264	Caloramator australicus RC3	strain=RC3	na	latest	Contig	Major	Full	2012/07/23	ASM29711v1	Microbial Gene Research and Resources Facility, Griffith University	GCA_000297115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/115/GCF_000297115.1_ASM29711v1	na	assembly from type material	na	haploid	bacteria	2638447	2638447	32.5	0	161	161	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/12/23	2812	2627	90	21421756
GCF_000297255.1	PRJNA224116	SAMEA2272167	CAGS00000000.1	representative genome	1129897	1206749	Nitrolancea hollandica Lb	strain=Lb	na	latest	Contig	Major	Full	2012/06/06	ASM29725v1	CEA IG Genoscope	GCA_000297255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/255/GCF_000297255.1_ASM29725v1	na	assembly from type material	na	haploid	bacteria	3888104	3888104	62.5	0	736	736	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4026	3840	72	24573161;22763649
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000297615.1	PRJNA224116	SAMN02470718	AMCE00000000.1	na	1224744	414	Methylococcus capsulatus str. Texas = ATCC 19069	strain=Texas	na	latest	Contig	Major	Full	2012/09/17	ASM29761v1	Norwegian University of Life Sciences	GCA_000297615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/615/GCF_000297615.1_ASM29761v1	na	assembly from type material	na	haploid	bacteria	3259715	3259715	63.0	0	114	114	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	3077	2972	62	23144383
GCF_000299935.1	PRJNA224116	SAMN02471166	AMRL00000000.1	na	1207063	526216	Oceanibaculum indicum P24	strain=P24	na	latest	Contig	Major	Full	2012/09/27	ASM29993v1	The Third Institute of State Oceanic Administration (SOA)	GCA_000299935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/935/GCF_000299935.1_ASM29993v1	na	assembly from type material	na	haploid	bacteria	3952792	3952792	65.0	0	71	71	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/12/23	3842	3764	49	23209207
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000306035.1	PRJNA224116	SAMN02469423	AMPS00000000.1	na	1214225	1214225	Acidocella sp. MX-AZ02	strain=MX-AZ02	na	latest	Scaffold	Major	Full	2013/02/23	ASM30603v1	Center for Genomic Sciences	GCA_000306035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/035/GCF_000306035.1_ASM30603v1	na	na	na	haploid	bacteria	3624857	3600757	64.0	0	84	325	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/31/22	3654	3492	52	23405365
GCF_000321045.1	PRJNA224116	SAMEA2272705	CAEO00000000.1	na	1095768	1485952	Phytobacter massiliensis JC163	strain=type strain: JC163	na	latest	Scaffold	Major	Full	2012/12/06	ASM32104v2	Laboratoire URMITE CNRS 6236	GCA_000321045.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/321/045/GCF_000321045.1_ASM32104v2	na	assembly from type material	na	haploid	bacteria	5003540	4922247	55.0	0	77	236	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	03/11/23	4823	4507	95	na
GCF_000324985.1	PRJNA224116	SAMN02403083	ADSJ00000000.1	na	755958	632	Yersinia pestis I160001	strain=I160001	na	latest	Contig	Major	Full	2012/12/07	ASM32498v1	Beijing Genomics Institute	GCA_000324985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/324/985/GCF_000324985.1_ASM32498v1	na	na	na	haploid	bacteria	4399336	4399336	47.5	0	1222	1222	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4442	4011	33	23271803
GCF_000324985.1	PRJNA224116	SAMN02403083	ADSJ00000000.1	na	755958	632	Yersinia pestis I160001	strain=I160001	na	latest	Contig	Major	Full	2012/12/07	ASM32498v1	Beijing Genomics Institute	GCA_000324985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/324/985/GCF_000324985.1_ASM32498v1	na	na	na	haploid	bacteria	4399336	4399336	47.5	0	1222	1222	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4442	4011	33	23271803
GCF_000324985.1	PRJNA224116	SAMN02403083	ADSJ00000000.1	na	755958	632	Yersinia pestis I160001	strain=I160001	na	latest	Contig	Major	Full	2012/12/07	ASM32498v1	Beijing Genomics Institute	GCA_000324985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/324/985/GCF_000324985.1_ASM32498v1	na	na	na	haploid	bacteria	4399336	4399336	47.5	0	1222	1222	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4442	4011	33	23271803
GCF_000324985.1	PRJNA224116	SAMN02403083	ADSJ00000000.1	na	755958	632	Yersinia pestis I160001	strain=I160001	na	latest	Contig	Major	Full	2012/12/07	ASM32498v1	Beijing Genomics Institute	GCA_000324985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/324/985/GCF_000324985.1_ASM32498v1	na	na	na	haploid	bacteria	4399336	4399336	47.5	0	1222	1222	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4442	4011	33	23271803
GCF_000324985.1	PRJNA224116	SAMN02403083	ADSJ00000000.1	na	755958	632	Yersinia pestis I160001	strain=I160001	na	latest	Contig	Major	Full	2012/12/07	ASM32498v1	Beijing Genomics Institute	GCA_000324985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/324/985/GCF_000324985.1_ASM32498v1	na	na	na	haploid	bacteria	4399336	4399336	47.5	0	1222	1222	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4442	4011	33	23271803
GCF_000324985.1	PRJNA224116	SAMN02403083	ADSJ00000000.1	na	755958	632	Yersinia pestis I160001	strain=I160001	na	latest	Contig	Major	Full	2012/12/07	ASM32498v1	Beijing Genomics Institute	GCA_000324985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/324/985/GCF_000324985.1_ASM32498v1	na	na	na	haploid	bacteria	4399336	4399336	47.5	0	1222	1222	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4442	4011	33	23271803
GCF_000324985.1	PRJNA224116	SAMN02403083	ADSJ00000000.1	na	755958	632	Yersinia pestis I160001	strain=I160001	na	latest	Contig	Major	Full	2012/12/07	ASM32498v1	Beijing Genomics Institute	GCA_000324985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/324/985/GCF_000324985.1_ASM32498v1	na	na	na	haploid	bacteria	4399336	4399336	47.5	0	1222	1222	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4442	4011	33	23271803
GCF_000324985.1	PRJNA224116	SAMN02403083	ADSJ00000000.1	na	755958	632	Yersinia pestis I160001	strain=I160001	na	latest	Contig	Major	Full	2012/12/07	ASM32498v1	Beijing Genomics Institute	GCA_000324985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/324/985/GCF_000324985.1_ASM32498v1	na	na	na	haploid	bacteria	4399336	4399336	47.5	0	1222	1222	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/23/23	4442	4011	33	23271803
